Key,french
attFortitudeRank06LongDesc,Vous êtes en très bonne santé. Infligez 290 % de dégâts par balle dans la tête et 18 % de chances de vous démembrer avec des mitrailleuses.
attFortitudeRank07LongDesc,Vous avez une santé vigoureuse. Infligez 305 % de dégâts par balle dans la tête et 21 % de chances de vous démembrer avec des mitrailleuses.
attFortitudeRank08LongDesc,Vous êtes aussi résilient qu'ils viennent. Infligez 320 % de dégâts par balle dans la tête et 24 % de chances de vous démembrer avec des mitrailleuses.
attFortitudeRank09LongDesc,Vous avez une constitution incroyable. Infligez 335 % de dégâts par balle dans la tête et 27 % de chances de vous démembrer avec des mitrailleuses.
attFortitudeRank10LongDesc,Vous avez un courage exubérant et pouvez abattre une tornade. Infligez 350 % de dégâts par balle dans la tête et 30 % de chances de vous démembrer avec des mitrailleuses.
perkMachineGunnerRank3LongDescRE,"Tous les combats ont aiguisé vos compétences et vous êtes maintenant un soldat. Infligez 17 % de dégâts supplémentaires, une cadence de tir 8 % plus rapide et rechargez 10 % plus rapidement. Commando Adrénaline : Chaque tir marqué avec des armes automatiques vous donne 1 endurance."
perkMachineGunnerRank4LongDescRE,"Votre compétence correspond maintenant aux forces spéciales. Infligez 34 % de dégâts supplémentaires, une cadence de tir 16 % plus rapide et rechargez 20 % plus rapidement. Commando Adrénaline : Chaque tir marqué avec des armes automatiques vous donne 2 points d'endurance."
perkMachineGunnerRank5LongDescRE,"Vous êtes maintenant le mitrailleur ultime. Infligez 51 % de dégâts supplémentaires, une cadence de tir 24 % plus rapide et rechargez 30 % plus rapidement. Commando Adrénaline : Chaque tir marqué avec des armes automatiques vous donne 3 points d'endurance."
perkPainToleranceRank1LongDescRE,Augmente votre cote d'armure de 1 pour chaque pièce d'armure que vous portez (l'écran du personnage s'affiche de manière inexacte) et réduit les chances d'être étourdi de 34 %.
perkPainToleranceRank2LongDescRE,Augmente votre cote d'armure de 2 pour chaque pièce d'armure que vous portez (l'écran du personnage s'affiche de manière inexacte) et réduit les chances d'être étourdi de 67 %.
perkPainToleranceRank3LongDescRE,Augmente votre cote d'armure de 3 pour chaque pièce d'armure que vous portez (l'écran du personnage s'affiche de manière inexacte) et ne vous étourdissez jamais.
buffPerkCharismaticNatureDescRE,Vous utilisez votre instinct de survie!
perkCharismaticNatureDescRE,Vous êtes un survivaliste.
perkCharismaticNatureNameRE,L'instinct de survie
perkCharismaticNatureRank1DescRE,En forme et en bonne santé
perkCharismaticNatureRank2DescRE,Force brute
perkCharismaticNatureRank3DescRE,Peau de fer
perkCharismaticNatureRank1LongDescRE,Votre instinct de survie vous fait gagner 20 points de vie et d'endurance.
perkCharismaticNatureRank2LongDescRE,Vos dégâts de blocage sont augmentés de 50 % et les dégâts d'entité de 8,5 %.
perkCharismaticNatureRank3LongDescRE,Votre cote d'armure et votre résistance explosive sont augmentées de 1 pour chaque pièce d'armure portée et votre santé et votre endurance maximales augmentent de 10 autres.
perkHealingFactorRank1LongDescRE,Vous devez avoir un métabolisme rapide. Gagnez 24 points de vie toutes les heures grâce à la guérison naturelle. Les blessures critiques guérissent 50 % plus vite.
perkHealingFactorRank2LongDescRE,Vous devez avoir un métabolisme rapide. Gagnez 42 points de vie toutes les heures grâce à la guérison naturelle. Les blessures critiques guérissent 100 % plus rapidement.
perkPhysicianRank1LongDescRE,Les objets de soins médicaux soignent 25% de santé en plus.
perkPhysicianRank2LongDescRE,Les objets de soins médicaux soignent 50% de santé en plus.
perkPhysicianRank3LongDescRE,Les objets de soins médicaux soignent 75% de santé en plus.
attAgilityRank01LongDesc,"Vous êtes aussi maladroit que possible, mais vous infligez toujours 215 % de dégâts par balle dans la tête et avez 3 % de chances de vous démembrer avec des armes de poing et des couteaux."
attAgilityRank02LongDesc,"Vous n'avez pas fait partie de l'équipe de football, mais cela ne vous a pas empêché de vous entraîner. Infligez 230 % de dégâts par balle dans la tête et 6 % de chances de vous démembrer avec des armes de poing et des couteaux."
attAgilityRank03LongDesc,"Vous êtes toujours bruyant et maladroit, mais vous pouvez infliger 245 % de dégâts par balle dans la tête et avoir 9 % de chances de vous démembrer avec des armes de poing et des couteaux."
attAgilityRank04LongDesc,"Votre dextérité est un peu inepte, mais vous pouvez infliger 260 % de dégâts par balle dans la tête et avoir 12 % de chances de vous démembrer avec des armes de poing et des couteaux."
attAgilityRank05LongDesc,"Vous êtes maintenant agile et infligez 275 % de dégâts par balle dans la tête et avez 15 % de chances de vous démembrer avec des armes de poing et des couteaux."
attAgilityRank06LongDesc,"Votre mouvement est maintenant très agile et inflige 290 % de dégâts par tir à la tête et a 18 % de chances de se démembrer avec des armes de poing et des couteaux."
attAgilityRank07LongDesc,"Votre dextérité est très impressionnante. Inflige 305 % de dégâts par balle dans la tête et a 21 % de chances de se démembrer avec des armes de poing et des couteaux."
attAgilityRank08LongDesc,"Déplacer des fluides et atterrir sur vos pieds sont une seconde nature pour vous. Inflige 320 % de dégâts par balle dans la tête et a 24 % de chances de se démembrer avec des armes de poing et des couteaux."
attAgilityRank09LongDesc,"Votre agilité est suffisamment bonne pour devenir un athlète professionnel. Infligez 335 % de dégâts par balle dans la tête et 27 % de chances de vous démembrer avec des armes de poing et des couteaux."
attAgilityRank10LongDesc,"Votre dextérité est inégalée. Infligez 350 % de dégâts par balle dans la tête et 30 % de chances de vous démembrer avec des armes de poing et des couteaux."
perkGunslingerRank3LongDescRE,"Vous pouvez garder la plupart des situations sous contrôle, shérif. Infligez 17 % de dégâts supplémentaires, une cadence de tir 8 % plus rapide et rechargez 10 % plus rapidement. Dégâts critiques : 5 coups successifs en peu de temps causent des dégâts critiques."
perkGunslingerRank4LongDescRE,"Vous êtes maintenant un tireur et pouvez nettoyer un saloon plein de bâtards tapageurs en un rien de temps. Infligez 34 % de dégâts supplémentaires, une cadence de tir 16 % plus rapide et rechargez 20 % plus rapidement. Dégâts critiques : 4 coups successifs en peu de temps font que le dernier coup inflige 100 % de dégâts supplémentaires."
perkGunslingerRank5LongDescRE,"Vous êtes le pistolero le plus rapide de Navezgane. Infligez 51 % de dégâts supplémentaires, une cadence de tir 24 % plus rapide et un rechargement 30 % plus rapide avec des armes de poing. Dégâts critiques : 3 coups successifs en peu de temps font que le dernier coup inflige 100 % de dégâts supplémentaires."
perkDeepCutsRank1LongDescRE,Vous avez peut-être une lame émoussée, mais vous savez comment l'utiliser. Infligez 17% de dégâts supplémentaires. Augmente les dégâts des blocs avec des couteaux de 50 %.
perkDeepCutsRank2LongDescRE,Tes amis disent que tu es vraiment une fille au couteau. Infligez 34% de dégâts supplémentaires. Augmente les dégâts des blocs avec des couteaux de 100 %.
perkDeepCutsRank3LongDescRE,Vous êtes un cran au-dessus du reste. Infligez 51% de dégâts supplémentaires. Augmente les dégâts des blocs avec des couteaux de 150 %.
perkRunAndGunRank1LongDescRE,"Vaporiser et prier. La visée est surestimée, il suffit de tirer d'abord et de poser des questions plus tard. La précision du tir à la hanche est améliorée de 10 % et la pénalité de mouvement lors du rechargement est réduite de 20 %."
perkRunAndGunRank2LongDescRE,Vos doigts contractés peuvent vous causer des ennuis, mais ils ont sauvé votre peau à de nombreuses reprises. La précision du tir à la hanche est améliorée de 20 % et la pénalité de mouvement lors du rechargement est réduite de 40 %.
perkRunAndGunRank3LongDescRE,Vous êtes maintenant un homme à gâchette mortel et avez maîtrisé l'art de courir et de tirer. La précision du tir à la hanche est améliorée de 30 % et la pénalité de mouvement lors du rechargement est réduite de 60 %.
perkFlurryOfBlowsRank1LongDescRE,Vous avez développé des mains rapides. Les vitesses d'attaque en mêlée à une main sont augmentées de 15 %. Chaque kill recharge l'endurance de 5 points.
perkFlurryOfBlowsRank2LongDescRE,Vous avez développé la frappe soudaine. Les vitesses d'attaque en mêlée à une main sont augmentées de 30 %. Chaque kill recharge l'endurance de 10 points.
perkFlurryOfBlowsRank3LongDescRE,Vous avez maîtrisé la rafale de coups. Les vitesses d'attaque en mêlée à une main sont augmentées de 45 %. Chaque kill recharge l'endurance de 15 points.
