Key,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
goDifficultyRE,"[FF4F00]Schwierigkeit (Lies mich)[-]"
attStrengthRank03LongDesc,"Was macht ein Milchtrinker wie du in der Zombie-Apokalypse? Du verursachst 245 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 9 %, dein Ziel zu zergliedern."
attStrengthRank04LongDesc,"Dein Schwimmreifen mag dich vor dem Verhungern bewahren, hilft dir aber nicht beim Schwingen von Vorschlaghämmern. Du verursachst 260 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 12 %, dein Ziel zu zergliedern."
attStrengthRank05LongDesc,"Du bist fit, verursachst 275 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 15 %, dein Ziel zu zergliedern."
attStrengthRank06LongDesc,"Du bist sehr stark und die ganzen Luschen im Fitnessstudio beneiden dich. Du verursachst 290 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 18 %, dein Ziel zu zergliedern."
attStrengthRank07LongDesc,"Die ganzen Knüppel und Vorschlaghämmer zu schwingen hat dich riesig gemacht, Alter. Du verursachst 305 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 21 %, dein Ziel zu zergliedern."
attStrengthRank08LongDesc,"Es beginnen Legenden um deine gewaltige Stärke zu entstehen. Du verursachst 320 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 24 %, dein Ziel zu zergliedern."
attStrengthRank09LongDesc,"Deine Größe, Stärke und Macht sind auf dem Niveau der Champions. Du verursachst 335 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 27 %, dein Ziel zu zergliedern."
attStrengthRank10LongDesc,"Wenn die Apokalypse nicht passiert wäre, hättest du Olympiasieger werden können. Stattdessen musst du dich mit Zombies rumschlagen. Du verursachst 350 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 30 %, dein Ziel zu zergliedern."
perkDemolitionsExpertRank1LongDescRE,"Sie sind jetzt ein Grenadier-Eingeweihter, seien Sie vorsichtig mit diesen Sprengstoffen. Schaden um 17 % erhöhen, Nachladegeschwindigkeit um 10 % erhöhen, 15 % schneller zielen, 15 % größere Chance auf Zerstückelung."
perkDemolitionsExpertRank2LongDescRE,"Schaden um 34 % erhöhen, Nachladegeschwindigkeit 20 %, 30 % schneller zielen, 30 % größere Chance auf Zerstückelung."
perkDemolitionsExpertRank3LongDescRE,"Sie sind jetzt ein Sprengstoffhändler. Schaden um 51% erhöhen, Nachladegeschwindigkeit um 30% erhöhen, 45% schneller zielen, 45% größere Chance auf Zerstückelung."
perkBoomstickRank1LongDescRE,"Verursacht 17 % mehr Schaden, 10 % schnellere Feuerrate und 10 % schnelleres Nachladen. Betäube Gegner 6 Sekunden lang.\nErhöht die Chance, sich zu zerstückeln um 5 %."
perkBoomstickRank3LongDescRE,"Verursacht 34 % mehr Schaden, 20 % schnellere Feuerrate und 20 % schnelleres Nachladen. Betäube Feinde 8 Sekunden lang.\nErhöht die Chance auf Zerstückelung um 10 %."
perkBoomstickRank5LongDescRE,"Verursacht 51 % mehr Schaden, 30 % schnellere Feuerrate und 30 % schnelleres Nachladen.\nBeinschüsse verkrüppeln Gegner."
perkBrawlerNameRE,Brawler (Slots 7 8 9 0)
perkBrawlerRank1LongDescRE,"Füge mit Fäusten 17 % mehr Schaden zu. Schläge auf den Kopf negieren die Infektionsfähigkeit."
perkBrawlerRank3LongDescRE,"Verursache 34% mehr Schaden mit Fäusten. Kraftangriffe auf den Kopf haben eine Chance von 20 %, Ihren Gegner niederzuschlagen, und eine Chance von 30 %, Gegner mit Kraftangriffen zu taumeln."
perkBrawlerRank5LongDescRE,"Verursacht 51% mehr Schaden. Kraftangriffe auf den Kopf haben eine Chance von 30%, deinen Gegner niederzuschlagen und haben eine höhere Chance, Köpfe mit Schlägen explodieren zu lassen."
perkSexualTrexRank1LongDescRE,"Du bist zum Bankwärmer aufgestiegen. Verringert die Ausdauerkosten von Nahkampfwaffen und Werkzeugen um 6 % und von kräftigen Angriffen um 10 %."
perkSexualTrexRank2LongDescRE,"Du bist ein echter Athlet und vom Nichtstun außer Atem zu kommen gehört jetzt der Vergangenheit an. Verringert die Ausdauerkosten von Nahkampfwaffen und Werkzeugen um 12 % und von kräftigen Angriffen um 20 %.\nTodesstöße gewähren 10 Ausdauer."
perkSexualTrexRank3LongDescRE,"Niemand verhält sich einem Krieger gegenüber respektlos. Verringert die Ausdauerkosten von Nahkampfwaffen und Werkzeugen um 18 % und von kräftigen Angriffen um 30 %.\nTodesstöße gewähren 15 Ausdauer."
perkSexualTrexRank4LongDescRE,"Du bist ein Käfigkämpfer und hast das höchstmögliche athletische Können erreicht. Verringert die Ausdauerkosten von Nahkampfwaffen und Werkzeugen um 24 % und von kräftigen Angriffen um 40 %.\nTodesstöße gewähren 20 Ausdauer."
perkMiner69rNameRE,"Bergmann 69'er (Messer/Schraubenschlüssel)"
perkMiner69rDescRE,"Hol das meiste aus deinen Bergbautätigkeiten heraus, indem du durch erhöhten Werkzeugschaden Steine und Bäume schneller aus dem Weg räumst."
perkMiner69rRank1LongDescRE,"Erhöht den Blockschaden mit Messer und Schraubenschlüssel um 50%."
perkMiner69rRank2LongDescRE,"Erhöht den Blockschaden mit Messer und Schraubenschlüssel um 100%."
perkMiner69rRank3LongDescRE,"Erhöht den Blockschaden mit Messer und Schraubenschlüssel um 150%."
attFortitudeRank01LongDesc,"Du bist nicht sehr belastbar oder gesund, aber wenigstens bist du am Leben. Du verursachst 215 % Schaden mit Kopfschüssen und hast mit deinen Fäusten und Maschinengewehren eine Chance von 3 %, dein Ziel zu zergliedern."
attFortitudeRank02LongDesc,"Du fühlst dich etwas besser als vorher. Du verursachst 230 % Schaden mit Kopfschüssen und hast mit deinen Fäusten und Maschinengewehren eine Chance von 6 %, dein Ziel zu zergliedern."
attFortitudeRank03LongDesc,"Du trotzt weiterhin der Schwerkraft und bleibst auf den Beinen. Du verursachst 245 % Schaden mit Kopfschüssen und hast mit deinen Fäusten und Maschinengewehren eine Chance von 9 %, dein Ziel zu zergliedern."
attFortitudeRank04LongDesc,"Langsam fühlst du dich wie ein normaler Mensch. Du verursachst 260 % Schaden mit Kopfschüssen und hast mit deinen Fäusten und Maschinengewehren eine Chance von 12 %, dein Ziel zu zergliedern."
attFortitudeRank05LongDesc,"Du bist gesund. Du verursachst 275 % Schaden mit Kopfschüssen und hast mit deinen Fäusten und Maschinengewehren eine Chance von 15 %, dein Ziel zu zergliedern."
attFortitudeRank07LongDesc,"Du erfreust dich bester Gesundheit Du verursachst 305 % Schaden mit Kopfschüssen und hast mit deinen Fäusten und Maschinengewehren eine Chance von 21 %, dein Ziel zu zergliedern."
attFortitudeRank08LongDesc,"Abgehärteter geht kaum. Du verursachst 320 % Schaden mit Kopfschüssen und hast mit deinen Fäusten und Maschinengewehren eine Chance von 24 %, dein Ziel zu zergliedern."
attFortitudeRank09LongDesc,"Deine Verfassung ist beeindruckend. Du verursachst 335 % Schaden mit Kopfschüssen und hast mit deinen Fäusten und Maschinengewehren eine Chance von 27 %, dein Ziel zu zergliedern."
attFortitudeRank10LongDesc,"Deine Standhaftigkeit ist nicht zu bändigen. Nicht einmal ein Tornado kann dir etwas anhaben. Du verursachst 350 % Schaden mit Kopfschüssen und hast mit deinen Fäusten und Maschinengewehren eine Chance von 30 %, dein Ziel zu zergliedern."
perkMachineGunnerRank3LongDescRE,"Das ganze Kämpfen hat deine Fertigkeiten trainiert und du bist jetzt ein Soldat, verursache 17 % mehr Schaden, feuere 8 % schneller und lade 10 % schneller nach. Kommando-Adrenalin: Jeder mit einer automatischen Waffe erzielte Treffer gewährt dir 1 Ausdauer."
perkMachineGunnerRank4LongDescRE,"Mit deinen Fähigkeiten könntest du beim Sondereinsatzkommando sein, verursache 34 % mehr Schaden, feuere 16 % schneller und lade 20 % schneller nach. Kommando-Adrenalin: Jeder mit einer automatischen Waffe erzielte Treffer gewährt dir 2 Ausdauer."
perkMachineGunnerRank5LongDescRE,"Du bist der ultimative Maschinengewehrschütze. Verursache 51 % mehr Schaden, feuere 24 % schneller und lade 30 % schneller nach. Kommando-Adrenalin: Jeder mit einer automatischen Waffe erzielte Treffer gewährt dir 3 Ausdauer."
perkPainToleranceRank1LongDescRE,"Erhöht eure Rüstungswertung um 1 für jedes Rüstungsteil, das ihr trägt (der Charakterbildschirm wird ungenau angezeigt) und verringert die Chance, betäubt zu werden, um 34 %."
perkPainToleranceRank2LongDescRE,"Erhöht eure Rüstungswertung um 2 für jedes Rüstungsteil, das ihr trägt (der Charakterbildschirm wird ungenau angezeigt) und verringert die Chance, betäubt zu werden, um 67 %."
perkPainToleranceRank3LongDescRE,"Erhöht eure Rüstungswertung um 3 für jedes Rüstungsteil, das ihr trägt (Charakterbildschirm wird ungenau angezeigt) und werdet nie betäubt."
buffPerkCharismaticNatureDescRE,"You are using your instincts of survival!","Du benutzt deinen Überlebensinstinkt!"
perkCharismaticNatureDescRE,"Du bist ein Überlebenskünstler"
perkCharismaticNatureNameRE,"Überlebensinstinkt"
perkCharismaticNatureRank1DescRE,"Gesund und Fit"
perkCharismaticNatureRank2DescRE,"Rohe Gewalt"
perkCharismaticNatureRank3DescRE,"Eisenhaut"
perkCharismaticNatureRank1LongDescRE,"Dein Überlebensinstinkt bringt dir 20 Gesundheit und Ausdauer."
perkCharismaticNatureRank2LongDescRE,"Ihr Blockschaden wird um 50 % und der Entitätsschaden um 8,5% erhöht."
perkCharismaticNatureRank3LongDescRE,"Ihre Rüstungswertung und Explosionsresistenz wird für jedes getragene Rüstungsteil um 1 erhöht und Ihre maximale Gesundheit und Ausdauer erhöht sich um weitere 10."
perkHealingFactorRank1LongDescRE,"Dein Stoffwechsel muss ziemlich schnell sein. Gewinnen Sie jede Stunde 24 Gesundheit mit natürlicher Heilung. Kritische Verletzungen heilen 50 % schneller."
perkHealingFactorRank2LongDescRE,"Dein Stoffwechsel muss ziemlich schnell sein. Gewinnen Sie jede Stunde 42 Gesundheit mit natürlicher Heilung. Kritische Verletzungen heilen 100 % schneller."
perkPhysicianRank1LongDescRE,"Medizinische Heilgegenstände heilen 25 % mehr Gesundheit."
perkPhysicianRank2LongDescRE,"Medizinische Heilgegenstände heilen 50 % mehr Gesundheit."
perkPhysicianRank3LongDescRE,"Medizinische Heilgegenstände heilen 75 % mehr Gesundheit."
attAgilityRank01LongDesc,"Tollpatschiger geht es kaum, du verursachst aber trotzdem 215 % Schaden mit Kopfschüssen und hast mit Handfeuerwaffen und Messern eine Chance von 3 %, dein Ziel zu zergliedern."
attAgilityRank02LongDesc,"Du hast es nicht ins Fußballteam geschafft – das hat dich aber nicht davon abgehalten, zu trainieren. Du verursachst 230 % Schaden mit Kopfschüssen und hast mit Bögen, Handfeuerwaffen und Messern eine Chance von 6 %, dein Ziel zu zergliedern."
attAgilityRank03LongDesc,"Du bewegst dich immer noch laut und schwerfällig, verursachst aber 245 % Schaden mit Kopfschüssen und hast mit Bögen, Handfeuerwaffen und Messern eine Chance von 9 %, dein Ziel zu zergliedern."
attAgilityRank04LongDesc,"Deine Geschicklichkeit ist noch etwas ungelenk, aber du verursachst 260 % Schaden mit Kopfschüssen und hast mit Bögen, Handfeuerwaffen und Messern eine Chance von 12 %, dein Ziel zu zergliedern."
attAgilityRank05LongDesc,"Du bist jetzt wendig, verursachst 275 % Schaden mit Kopfschüssen und hast mit Bögen, Handfeuerwaffen und Messern eine Chance von 15 %, dein Ziel zu zergliedern."
attAgilityRank06LongDesc,"Deine Bewegungen sind jetzt sehr flink, du verursachst 290 % Schaden mit Kopfschüssen und hast mit Bögen, Handfeuerwaffen und Messern eine Chance von 18 %, dein Ziel zu zergliedern."
attAgilityRank07LongDesc,"Deine Geschicklichkeit ist beeindruckend. Du verursachst 305 % Schaden mit Kopfschüssen und hast mit Bögen, Handfeuerwaffen und Messern eine Chance von 21 %, dein Ziel zu zergliedern."
attAgilityRank08LongDesc,"Flüssige Bewegungen und genaue Körperbeherrschung sind dir zur zweiten Natur geworden. Du verursachst 320 % Schaden mit Kopfschüssen und hast mit Bögen, Handfeuerwaffen und Messern eine Chance von 24 %, dein Ziel zu zergliedern."
attAgilityRank09LongDesc,"Mit deiner Beweglichkeit könntest du Profisportler werden. Du verursachst 335 % Schaden mit Kopfschüssen und hast mit Bögen, Handfeuerwaffen und Messern eine Chance von 27 %, dein Ziel zu zergliedern."
attAgilityRank10LongDesc,"Deine Geschicklichkeit sucht ihresgleichen. Du verursachst 350 % Schaden mit Kopfschüssen und hast mit Bögen, Handfeuerwaffen und Messern eine Chance von 30 %, dein Ziel zu zergliedern."
perkGunslingerRank3LongDescRE,"Sie können die meisten Situationen unter Kontrolle halten, Sheriff. Verursacht 17 % mehr Schaden, 8 % schnellere Feuerrate und 10 % schnelleres Nachladen. Kritischer Schaden: 5 aufeinanderfolgende Treffer in kurzer Zeit verursachen kritischen Schaden."
perkGunslingerRank4LongDescRE,"Du bist jetzt ein Revolverheld und kannst im Handumdrehen einen Saloon voller rüpelhafter Bastarde ausräumen. Verursacht 34 % mehr Schaden, 16 % schnellere Feuerrate und 20 % schnelleres Nachladen. Kritischer Schaden: 4 aufeinanderfolgende Treffer in kurzer Zeit bewirken, dass der letzte Schuss 100 % zusätzlichen Schaden verursacht."
perkGunslingerRank5LongDescRE,"Du bist der schnellste Revolverheld in Navezgane. Verursacht 51 % mehr Schaden, 24 % schnellere Feuerrate und 30 % schnelleres Nachladen mit Handfeuerwaffen. Kritischer Schaden: 3 aufeinanderfolgende Treffer in kurzer Zeit bewirken, dass der letzte Schuss 100 % zusätzlichen Schaden verursacht."
perkDeepCutsRank1LongDescRE,"Sie haben vielleicht eine stumpfe Klinge, aber Sie wissen, wie man sie benutzt. Füge 17 % mehr Schaden zu. Erhöht den Blockschaden mit Messern um 50 %."
perkDeepCutsRank2LongDescRE,"Deine Freunde sagen, du bist ein echtes Messermädchen. Füge 34 % mehr Schaden zu. Erhöht den Blockschaden mit Messern um 100 %."
perkDeepCutsRank3LongDescRE,"Sie sind ein Schnitt über dem Rest. Füge 51 % mehr Schaden zu. Erhöht den Blockschaden mit Messern um 150 %."
perkRunAndGunRank1LongDescRE,"Sprühen und beten. Zielen wird überbewertet, schießen Sie einfach zuerst und stellen Sie später Fragen. Die Genauigkeit des Feuerns aus der Hüfte wird um 10 % verbessert und die Bewegungsstrafe beim Nachladen um 20 % reduziert."
perkRunAndGunRank2LongDescRE,"Ihre zuckenden Finger könnten Sie in Schwierigkeiten bringen, haben aber bei vielen Gelegenheiten Ihre Haut gerettet. Die Genauigkeit des Feuerns aus der Hüfte wird um 20 % verbessert und die Bewegungsstrafe beim Nachladen um 40 % reduziert."
perkRunAndGunRank3LongDescRE,"Du bist jetzt ein tödlicher Abzugsmann und hast die Kunst des Laufens und Schießens gemeistert. Die Feuergenauigkeit aus der Hüfte wird um 30 % verbessert und die Bewegungsstrafe beim Nachladen um 60 % reduziert."
perkFlurryOfBlowsRank1LongDescRE,"Sie haben schnelle Hände entwickelt. Die Geschwindigkeit von einhändigen Nahkampfangriffen wird um 15 % erhöht. Jeder Kill lädt die Ausdauer um 5 Punkte auf."
perkFlurryOfBlowsRank2LongDescRE,"Sie haben den plötzlichen Schlag entwickelt. Die Geschwindigkeit von einhändigen Nahkampfangriffen wird um 30 % erhöht. Jeder Kill lädt die Ausdauer um 10 Punkte auf."
perkFlurryOfBlowsRank3LongDescRE,"Du hast den Schlaghagel gemeistert. Die Geschwindigkeit von einhändigen Nahkampfangriffen wird um 45 % erhöht. Jeder Kill lädt die Ausdauer um 15 Punkte auf."




