Key,italian
perkCharismaticNatureRank3LongDescRE,Il tuo grado di armatura e la resistenza esplosiva sono aumentate di 1 per ogni pezzo di armatura indossato e la tua salute e resistenza massime aumentano di altri 10.
perkHealingFactorRank1LongDescRE,Devi avere un metabolismo veloce. Guadagna 24 punti salute ogni ora con la guarigione naturale. Le ferite critiche guariscono il 50% più velocemente.
perkHealingFactorRank2LongDescRE,Devi avere un metabolismo veloce. Guadagna 42 punti salute ogni ora con la guarigione naturale. Le ferite critiche guariscono il 100% più velocemente.
perkPhysicianRank1LongDescRE,Gli oggetti curativi medici curano il 25% in più di salute.
perkPhysicianRank2LongDescRE,Gli oggetti curativi medici curano il 50% in più di salute.
perkPhysicianRank3LongDescRE,Gli oggetti curativi medici curano il 75% in più di salute.
attAgilityRank01LongDesc,"Sei goffo come loro, ma fai comunque il 215% di danni da colpo alla testa e hai una probabilità del 3% di smembrarti con pistole e coltelli."
attAgilityRank02LongDesc,"Non hai fatto parte della squadra di football, ma questo non ti ha impedito di allenarti. Infliggi il 230% di danni da colpo alla testa e hai una probabilità del 6% di smembrarsi con pistole e coltelli."
attAgilityRank03LongDesc,"Sei ancora rumoroso e goffo ma puoi infliggere il 245% di danni da colpo alla testa e avere una probabilità del 9% di smembrarti con pistole e coltelli."
attAgilityRank04LongDesc,"La tua destrezza è un po' inetta, ma puoi infliggere il 260% di danni da colpo alla testa e avere una probabilità del 12% di smembrarti con pistole e coltelli."
attAgilityRank05LongDesc,"Ora sei agile e infliggi il 275% di danni da colpo alla testa e hai una probabilità del 15% di smembrarti con pistole e coltelli."
attAgilityRank06LongDesc,"Il tuo movimento ora è molto agile e infligge il 290% di danni da colpo alla testa e ha una probabilità del 18% di smembrarsi con pistole e coltelli."
attAgilityRank07LongDesc,"La tua destrezza è davvero impressionante. Infliggi il 305% di danni da colpo alla testa e hai una probabilità del 21% di smembrarti con pistole e coltelli."
attAgilityRank08LongDesc,"Muoversi fluidi e atterrare in piedi sono una seconda natura per te. Infliggi il 320% di danni da colpo alla testa e hai una probabilità del 24% di smembrarti con pistole e coltelli."
attAgilityRank09LongDesc,"La tua agilità è abbastanza buona da poter essere un atleta professionista. Infliggi il 335% di danni da colpo alla testa e hai una probabilità del 27% di smembrarti con pistole e coltelli."
attAgilityRank10LongDesc,"La tua destrezza è impareggiabile. Infliggi il 350% di danni da colpo alla testa e hai una probabilità del 30% di smembrarti con pistole e coltelli."
perkGunslingerRank3LongDescRE,"Puoi tenere sotto controllo la maggior parte delle situazioni, sceriffo. Infligge il 17% di danni in più, una cadenza di fuoco più veloce dell'8% e ricarica il 10% più velocemente. Danno critico: 5 colpi successivi in ​​breve tempo causano danni critici."
perkGunslingerRank4LongDescRE,"Ora sei un pistolero e puoi sgomberare un saloon pieno di bastardi turbolenti in un batter d'occhio. Infligge il 34% di danni in più, una cadenza di fuoco più veloce del 16% e ricarica il 20% più velocemente. Danno critico: 4 colpi successivi in ​​breve tempo fanno sì che l'ultimo colpo infligga il 100% di danni extra."
perkGunslingerRank5LongDescRE,"Sei il pistolero più veloce di Navezgane. Infliggi il 51% di danni in più, una cadenza di fuoco più rapida del 24% e una ricarica più rapida del 30% con le pistole. Danno critico: 3 colpi successivi in ​​breve tempo fanno sì che l'ultimo colpo infligga il 100% di danni extra."
perkDeepCutsRank1LongDescRE,Potresti avere una lama smussata ma sai come usarla. Infliggi il 17% di danni in più. Aumenta il danno da blocco con i coltelli del 50%.
perkDeepCutsRank2LongDescRE,I tuoi amici dicono che sei davvero una ragazza col coltello. Infliggi il 34% di danni in più. Aumenta il danno da blocco con i coltelli del 100%.
perkDeepCutsRank3LongDescRE,Sei un gradino sopra il resto. Infliggi il 51% di danni in più. Aumenta il danno da blocco con i coltelli del 150%.
perkRunAndGunRank1LongDescRE,"Spruzza e prega. La mira è sopravvalutata, basta sparare prima e poi fare domande. La precisione del fuoco dell'anca è migliorata del 10% e la penalità di movimento durante la ricarica è ridotta del 20%."
perkRunAndGunRank2LongDescRE,"Le tue dita che si contraggono potrebbero metterti nei guai ma ti hanno salvato la pelle in molte occasioni. La precisione del fuoco dell'anca è migliorata del 20% e la penalità di movimento durante la ricarica è ridotta del 40%."
perkRunAndGunRank3LongDescRE,"Ora sei un micidiale grilletto e hai imparato l'arte di correre e sparare. La precisione del fuoco dell'anca è migliorata del 30% e la penalità di movimento durante la ricarica è ridotta del 60%."
perkFlurryOfBlowsRank1LongDescRE,Hai sviluppato mani veloci. La velocità di attacco in mischia a una mano è aumentata del 15%. Ogni uccisione ricarica la resistenza di 5 punti.
perkFlurryOfBlowsRank2LongDescRE,Hai sviluppato lo sciopero improvviso. La velocità di attacco in mischia a una mano è aumentata del 30%. Ogni uccisione ricarica la resistenza di 10 punti.
perkFlurryOfBlowsRank3LongDescRE,Hai dominato la raffica di colpi. La velocità di attacco in mischia a una mano è aumentata del 45%. Ogni uccisione ricarica la resistenza di 15 punti.
